,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,reviews_per_month,bathrooms_quantity,wifi,tv,hot_water,kitchen,pets_allowed,free_parking,pool,bathroom_is_shared,bathrooms_type,price_range
0,f,t,Copacabana,-22.96599,-43.1794,Entire condominium (condo),Entire home/apt,5,1 bath,2.0,2.0,350.0,5,180,266,f,2.07,1.0,1,1,1,1,0,0,0,0,bath,\$251 - \$500
1,f,t,Ipanema,-22.98405,-43.20189,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,296.0,3,90,85,f,0.85,1.0,1,1,1,0,0,0,0,0,bath,\$251 - \$500
2,f,t,Copacabana,-22.97735,-43.19105,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,168.0,4,90,238,f,1.84,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
3,t,t,Ipanema,-22.98839,-43.19232,Entire rental unit,Entire home/apt,2,1.5 baths,1.0,1.0,278.0,2,89,181,f,1.9,1.5,1,1,1,1,0,0,0,0,bath,\$251 - \$500
4,t,t,Copacabana,-22.98107,-43.19136,Entire loft,Entire home/apt,2,1.5 baths,1.0,1.0,150.0,3,15,373,f,3.05,1.5,1,1,1,1,0,0,0,0,bath,\$100 - \$250
6,f,t,Copacabana,-22.98528,-43.19264,Private room in rental unit,Private room,1,1 private bath,1.0,1.0,112.0,3,30,42,f,0.87,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
7,f,t,Copacabana,-22.96574,-43.17514,Entire rental unit,Entire home/apt,9,3 baths,4.0,5.0,687.0,3,750,5,f,0.07,3.0,1,1,1,1,0,1,0,0,bath,\$501 - \$750
8,t,t,Copacabana,-22.9791,-43.19008,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,190.0,3,90,102,t,0.96,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
9,f,t,Ipanema,-22.98584,-43.20305,Entire rental unit,Entire home/apt,6,3 baths,3.0,3.0,1020.0,2,89,74,f,0.66,3.0,1,1,0,1,0,0,0,0,bath,> \$1000
11,t,t,Copacabana,-22.98234,-43.19164,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,171.0,3,1125,178,t,1.71,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
13,t,f,Ipanema,-22.98169,-43.2028,Entire rental unit,Entire home/apt,6,2.5 baths,3.0,3.0,443.0,3,1125,24,f,0.25,2.5,1,1,1,1,0,1,0,0,bath,\$251 - \$500
15,f,t,Flamengo,-22.92837,-43.17473,Entire rental unit,Entire home/apt,4,2 baths,3.0,4.0,220.0,4,1125,1,f,0.02,2.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
16,t,t,Copacabana,-22.9824,-43.19593,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,147.0,3,89,219,t,2.59,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
17,f,f,Copacabana,-22.98553,-43.18964,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,219.0,4,365,79,f,0.64,1.0,1,1,0,0,0,0,0,0,bath,\$100 - \$250
18,t,t,Ipanema,-22.9854,-43.19602,Entire rental unit,Entire home/apt,6,2 baths,1.0,5.0,297.0,2,420,412,t,3.46,2.0,1,1,1,1,0,1,1,0,bath,\$251 - \$500
19,f,t,Copacabana,-22.98192,-43.19397,Entire rental unit,Entire home/apt,12,4 baths,4.0,8.0,643.0,2,365,126,t,1.01,4.0,1,1,1,1,0,1,0,0,bath,\$501 - \$750
20,f,t,Santa Teresa,-22.92742,-43.19464,Private room in bed and breakfast,Private room,16,5 shared baths,7.0,10.0,226.0,7,90,215,f,1.82,5.0,1,0,1,1,0,0,1,1,shared bath,\$100 - \$250
21,t,t,Gávea,-22.97766,-43.2311,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,210.0,5,89,37,f,0.56,1.0,1,1,1,1,0,1,0,0,bath,\$100 - \$250
22,f,t,Santa Teresa,-22.92456,-43.19028,Private room in rental unit,Private room,2,2 baths,1.0,0.0,112.0,2,60,14,t,0.14,2.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
23,f,t,Ipanema,-22.98552,-43.19432,Entire rental unit,Entire home/apt,4,1 bath,1.0,3.0,149.0,2,730,4,t,0.18,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
24,f,t,Leblon,-22.98361,-43.21827,Entire rental unit,Entire home/apt,5,1 bath,1.0,3.0,273.0,2,90,88,t,0.75,1.0,1,1,1,1,0,0,0,0,bath,\$251 - \$500
25,f,t,Copacabana,-22.98174,-43.19039,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,110.0,5,30,5,f,2.5,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
26,f,t,Jacarepaguá,-22.97293,-43.38321,Private room in rental unit,Private room,2,2 baths,1.0,2.0,835.0,1,90,0,f,0.0,2.0,1,1,0,1,0,1,1,0,bath,\$750 - \$100
27,f,t,Ipanema,-22.98339,-43.21436,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,146.0,2,1125,27,f,0.54,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
28,f,t,Copacabana,-22.97794,-43.18969,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,196.0,2,89,68,t,0.63,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
29,f,t,Copacabana,-22.97456,-43.18807,Entire rental unit,Entire home/apt,3,1 bath,1.0,3.0,138.0,2,90,56,t,0.52,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
